,mean_hamming_between_samples,mean_hamming_to_wt,fraction_predicted_alive
0,7.025287356321839,5.6,0.3333333333333333
1,7.022988505747127,5.966666666666667,0.26666666666666666
2,7.294252873563218,6.333333333333333,0.23333333333333334
3,7.372413793103449,6.533333333333333,0.26666666666666666
4,7.2459770114942526,6.266666666666667,0.16666666666666666
5,7.445977011494253,6.466666666666667,0.2
6,7.174712643678161,6.066666666666666,0.26666666666666666
7,7.2091954022988505,6.466666666666667,0.2
8,7.241379310344827,6.833333333333333,0.13333333333333333
9,7.344827586206897,6.566666666666666,0.1
10,3.3586206896551722,3.033333333333333,0.8333333333333334
11,2.560919540229885,2.2666666666666666,0.9333333333333333
12,2.4597701149425286,2.0,0.9666666666666667
13,2.852873563218391,2.2,0.9
14,2.9885057471264367,2.8666666666666667,0.8666666666666667
15,3.3793103448275863,3.066666666666667,0.8333333333333334
16,2.5402298850574714,2.3666666666666667,0.9666666666666667
17,2.5908045977011493,2.1666666666666665,0.9333333333333333
18,2.6758620689655173,2.066666666666667,0.9
19,3.301149425287356,2.8333333333333335,0.8666666666666667
20,6.257471264367816,5.233333333333333,0.4
21,6.068965517241379,5.233333333333333,0.43333333333333335
22,6.096551724137931,4.833333333333333,0.5
23,6.374712643678161,5.266666666666667,0.3
24,6.011494252873563,5.033333333333333,0.4
25,6.280459770114943,5.933333333333334,0.13333333333333333
26,5.202298850574713,5.0,0.5666666666666667
27,5.931034482758621,4.9,0.5
28,5.682758620689655,4.766666666666667,0.43333333333333335
29,6.533333333333333,5.733333333333333,0.4
30,4.466666666666667,3.933333333333333,0.7
31,3.87816091954023,3.6666666666666665,0.8
32,4.519540229885058,3.933333333333333,0.8333333333333334
33,3.7954022988505747,3.3333333333333335,0.8333333333333334
34,4.471264367816092,3.8333333333333335,0.7
35,3.829885057471264,3.3666666666666667,0.7666666666666667
36,4.896551724137931,4.333333333333333,0.7333333333333333
37,3.3701149425287356,3.066666666666667,0.8333333333333334
38,4.549425287356322,4.166666666666667,0.7333333333333333
39,4.110344827586207,3.7333333333333334,0.7666666666666667
40,6.974712643678161,5.633333333333334,0.2
41,7.393103448275862,6.7,0.13333333333333333
42,6.740229885057471,5.066666666666666,0.23333333333333334
43,7.583908045977012,7.066666666666666,0.06666666666666667
44,7.574712643678161,6.733333333333333,0.1
45,7.206896551724138,6.266666666666667,0.16666666666666666
46,7.1770114942528735,5.7,0.2
47,7.280459770114943,6.333333333333333,0.1
48,7.255172413793104,5.966666666666667,0.2
49,7.089655172413793,5.566666666666666,0.2
50,2.9885057471264367,3.6666666666666665,0.26666666666666666
51,3.3770114942528737,3.8333333333333335,0.3
52,2.9195402298850577,4.2,0.2
53,2.802298850574713,4.433333333333334,0.13333333333333333
54,2.87816091954023,3.2,0.3
55,2.829885057471264,3.3666666666666667,0.23333333333333334
56,3.154022988505747,4.133333333333334,0.23333333333333334
57,3.264367816091954,3.7333333333333334,0.3333333333333333
58,2.8229885057471265,5.066666666666666,0.06666666666666667
59,3.1655172413793102,4.1,0.23333333333333334
60,3.0482758620689654,4.4,0.5333333333333333
61,2.845977011494253,4.4,0.43333333333333335
62,3.197701149425287,3.5,0.6333333333333333
63,3.220689655172414,3.6333333333333333,0.6333333333333333
64,2.949425287356322,4.1,0.5666666666666667
65,2.8597701149425285,4.133333333333334,0.5
66,2.698850574712644,3.4,0.8
67,3.1310344827586207,4.4,0.5333333333333333
68,3.0827586206896553,4.1,0.4666666666666667
69,3.1195402298850574,3.9,0.5333333333333333
