,t,max_mut,average_wt_hamming,frac_above_thresh,n_muts_seen,n_muts_sampled
0,1.0,8.0,3.7624113475177303,0.6914893617021277,282.0,300.0
1,1.0,13.0,6.13840830449827,0.45674740484429066,289.0,300.0
2,0.5,17.0,7.06993006993007,0.43006993006993005,286.0,300.0
3,1.0,14.0,6.537906137184115,0.5234657039711191,277.0,300.0
4,1.0,16.0,7.559859154929577,0.4119718309859155,284.0,300.0
5,10.0,15.0,12.10948905109489,0.010948905109489052,274.0,300.0
6,2.0,9.0,5.2140350877192985,0.44912280701754387,285.0,300.0
7,2.5,10.0,6.218637992831542,0.30824372759856633,279.0,300.0
8,0.7,10.0,4.393728222996516,0.6515679442508711,287.0,300.0
9,0.6,10.0,4.288732394366197,0.6795774647887324,284.0,300.0
10,2.5,13.0,8.0,0.1972318339100346,289.0,300.0
11,0.5,16.0,6.843971631205674,0.524822695035461,282.0,300.0
12,1.0,11.0,5.118881118881119,0.548951048951049,286.0,300.0
13,2.0,14.0,8.17921146953405,0.22939068100358423,279.0,300.0
14,2.0,10.0,5.76978417266187,0.4028776978417266,278.0,300.0
15,3.0,15.0,9.657243816254416,0.10600706713780919,283.0,300.0
16,1.0,9.0,4.083623693379791,0.6236933797909407,287.0,300.0
17,0.6,5.0,2.2037735849056603,0.8113207547169812,265.0,300.0
18,2.5,9.0,5.6537102473498235,0.36395759717314485,283.0,300.0
19,0.5,6.0,2.6153846153846154,0.8095238095238095,273.0,300.0
20,0.5,10.0,4.274647887323944,0.676056338028169,284.0,300.0
21,0.3,5.0,2.13671875,0.8203125,256.0,300.0
22,1.0,15.0,7.0285714285714285,0.3892857142857143,280.0,300.0
23,3.0,7.0,4.5234657039711195,0.4296028880866426,277.0,300.0
24,2.0,11.0,6.313588850174216,0.3554006968641115,287.0,300.0
25,10.0,5.0,4.059233449477352,0.29965156794425085,287.0,300.0
26,0.5,9.0,3.683453237410072,0.7338129496402878,278.0,300.0
27,2.5,7.0,4.398576512455516,0.5373665480427047,281.0,300.0
28,1.0,10.0,4.628472222222222,0.59375,288.0,300.0
29,4.0,5.0,3.4731182795698925,0.5125448028673835,279.0,300.0
30,1.0,18.0,8.501742160278745,0.3310104529616725,287.0,300.0
31,5.0,10.0,7.40625,0.125,288.0,300.0
32,1.0,12.0,5.49645390070922,0.574468085106383,282.0,300.0
33,2.5,5.0,3.1338028169014085,0.6338028169014085,284.0,300.0
34,2.5,8.0,4.879432624113475,0.4326241134751773,282.0,300.0
35,2.0,13.0,7.430604982206406,0.2491103202846975,281.0,300.0
36,0.4,10.0,4.055749128919861,0.6341463414634146,287.0,300.0
37,3.0,11.0,7.080985915492958,0.25704225352112675,284.0,300.0
