,mean_hamming_between_samples,mean_hamming_to_wt,fraction_predicted_alive
0,1.6666666666666667,1.0,1.0
1,2.227272727272727,1.5833333333333333,1.0
2,2.4857142857142858,1.8666666666666667,1.0
3,3.4942528735632186,2.8666666666666667,1.0
4,3.905982905982906,2.888888888888889,0.9629629629629629
5,4.4574712643678165,3.433333333333333,0.9
6,5.064367816091954,3.7333333333333334,0.9
7,5.24384236453202,3.8620689655172415,0.8275862068965517
8,5.560919540229885,4.0,0.7666666666666667
9,7.662068965517242,5.966666666666667,0.2
10,6.3310344827586205,4.733333333333333,0.6333333333333333
11,6.747126436781609,5.0,0.5666666666666667
12,6.696551724137931,4.833333333333333,0.5666666666666667
13,7.264367816091954,5.366666666666666,0.3333333333333333
14,7.381609195402299,5.5,0.43333333333333335
